id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
1N3B0VwGKZ9izttr8QXF99,Little pig,Buzz,0.794,0.755,0.583,0.964,6.75e-05,0.0501,86.017,-10.185,1,0,136933.0,4.0
2DVR5wEXbauarRJhluXAZs,nero,Covet,0.0159,0.255,0.848,0.554,0.892,0.0343,156.959,-4.553,0,6,397800.0,4.0
55VwJauY4a1oV5VbNLJo2p,"ON THE RADAR CONCRETE CYPHER (feat. Lil Yachty, Camo!, KARRAHBOOO, Dc2trill, Draft Day)",Concrete Boys,0.402,0.408,0.535,0.467,0.0,0.265,136.337,-11.005,1,2,348409.0,4.0
5UIsgZmK9AFS2bcxDV8ec9,0.0 (Non-Alcoholic Beer),Schlachtruf 1.3.1.2.,0.103,0.497,0.938,0.333,0.828,0.176,89.986,-1.65,0,9,183130.0,4.0
5cShKTY4IZhgmtKFTIqreo,Eviscerate Soul,Break My Fucking Sky,0.579,0.437,0.64,0.154,0.9,0.0285,180.031,-7.66,1,7,281013.0,4.0
4IAc1rja0Xv0JWqHaxeH2Z,Slipped Up - Certified Trapper Slipped Up mixx,Certified Trapper,0.0154,0.734,0.572,0.335,0.0515,0.238,93.001,-6.092,1,1,124649.0,4.0
3aNiQDa1t9lwymWz505uOo,No More Pain,Guiltera,2.93e-05,0.442,0.869,0.559,0.00855,0.0922,137.013,-10.144,1,6,219875.0,4.0
4MlXFjRO6N7NXvMqPlH35o,Free Ride,The Edgar Winter Group,0.29,0.674,0.686,0.814,0.00322,0.0597,124.204,-11.927,1,2,187173.0,4.0
3brMOcFezAkjLX0zPWeM0I,I do still wrong,toe,0.102,0.501,0.864,0.821,0.923,0.0289,92.462,-7.462,1,7,180800.0,4.0
6qBjpSUrFMKj3FiE7XA6Gh,"Flint Flow (feat. RMC Mike, KrispyLife Kidd, Louie Ray, Bfb Da Packman, YSR Gramz)",Babyfxce E,0.0283,0.656,0.682,0.471,0.0,0.402,128.656,-4.853,0,4,240250.0,5.0
4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,0.0031,0.551,0.645,0.508,0.00376,0.0354,128.665,-13.093,1,4,271560.0,4.0
1o2msfNDfTyG33zjUJnoZY,I Eat Humans,Izaya Tiji,0.0185,0.387,0.556,0.0331,0.0,0.13,75.173,-7.933,1,0,134544.0,4.0
6OqMuD7b1gNBpH3gkBfmmx,Good Old Days,The Revivalists,0.0154,0.715,0.889,0.685,0.0,0.0363,109.451,-5.527,1,11,262904.0,4.0
1UyYuaCxOF4ilkRDZ74nJW,Here I Dreamt I Was an Architect,The Decemberists,0.101,0.41,0.754,0.603,2.83e-06,0.0294,189.895,-6.515,1,7,269147.0,4.0
0fPHfNb0LwKGw3jCKzMk54,Changes,Langhorne Slim,0.884,0.679,0.369,0.354,0.00284,0.0285,110.195,-10.979,1,11,161907.0,4.0
